pair,mean_corr,pct>=0.75,pct>=0.85,pval,ci_mean_low,ci_mean_high
CCL-CUK,0.94,100,100,0.0005,0.927662061,0.9515576169
Z-ZG,0.9286,100,90,0.0005,0.899433109,0.9529566869
LILA-LILAK,0.9042,100,80,0.0005,0.8693161165,0.9320087896
CCL-NCLH,0.8838,100,65,0.0005,0.8539904772,0.9112760623
UA-UAA,0.8814,85,80,0.0005,0.8231703803,0.9253190475
CUK-NCLH,0.8793,100,65,0.0005,0.8559571672,0.9012946755
CCL-RCL,0.8725,100,70,0.0005,0.8474853813,0.8950812325
CUK-RCL,0.8718,100,70,0.0005,0.8547014741,0.8864792604
NCLH-RCL,0.8648,100,60,0.0005,0.8322886892,0.8926843679
BATRA-BATRK,0.8624,90,70,0.0005,0.8196487898,0.8968784652
DAL-UAL,0.8556,95,55,0.0005,0.8119283879,0.8970902028
FOX-FOXA,0.8497,90,60,0.0005,0.8110128503,0.882991506
CFG-FITB,0.8425,85,55,0.0005,0.806618662,0.8725155013
CFG-RF,0.8409,85,45,0.0005,0.805928515,0.8709993484
FITB-KEY,0.84,85,55,0.0005,0.8058961086,0.8696152621
BRX-KIM,0.8391,100,40,0.0005,0.8100555916,0.8639340172
CFG-KEY,0.8391,100,55,0.0005,0.8077103747,0.8659100611
FITB-RF,0.8391,85,50,0.0005,0.8012918717,0.8740278186
KEY-RF,0.8383,95,50,0.0005,0.8085441786,0.8686598161
PSX-VLO,0.8352,100,35,0.0005,0.8158843325,0.8550313809
AAL-UAL,0.8349,85,55,0.0005,0.7985968971,0.8644868136
FHN-FNB,0.8304,80,50,0.0005,0.7952827413,0.860179099
HAL-SLB,0.8295,100,35,0.0005,0.7997243788,0.856626804
MTB-ZION,0.8288,95,30,0.0005,0.8125540316,0.8445978581
DVN-MUR,0.828,95,35,0.0005,0.8038998838,0.8498724294
FNB-WBS,0.826,85,35,0.0005,0.7878737692,0.8586536964
BHF-LNC,0.8251,85,45,0.0005,0.7869411749,0.8596574794
AUB-FRME,0.8228,90,40,0.0005,0.7980630335,0.8459202836
LNC-PRU,0.8219,90,45,0.0005,0.7852415007,0.856953769
HBAN-KEY,0.8218,90,35,0.0005,0.7967642549,0.8471154594
BANR-FFBC,0.8218,95,35,0.0005,0.8000228106,0.8430065719
HBAN-ZION,0.8213,90,35,0.0005,0.7950354157,0.8461558039
RF-TFC,0.8201,80,40,0.0005,0.7735960112,0.8615410491
FNB-VLY,0.8199,80,40,0.0005,0.7854716556,0.8520564235
ALK-DAL,0.8191,85,45,0.0005,0.7794054024,0.854576487
AUB-FULT,0.819,90,35,0.0005,0.7961840082,0.8412993666
MPC-VLO,0.819,95,35,0.0005,0.7954806353,0.8409708979
HBAN-RF,0.8185,85,35,0.0005,0.7835694865,0.8503587205
ASB-FNB,0.8181,75,40,0.0005,0.787501545,0.8483207348
FRME-WSBC,0.8168,80,35,0.0005,0.7877738871,0.8447075699
FITB-TFC,0.8166,80,35,0.0005,0.7696569321,0.8561688083
FHN-RF,0.8156,85,35,0.0005,0.7800491587,0.8471112441
FNB-KEY,0.8154,75,40,0.0005,0.7822773209,0.8457452341
CFG-HBAN,0.8149,90,30,0.0005,0.7859981243,0.8415721193
NWS-NWSA,0.8148,80,50,0.0005,0.7505424209,0.8679806768
FNB-HWC,0.8143,75,35,0.0005,0.7826773697,0.8456027966
CFG-FHN,0.8137,80,35,0.0005,0.7835259094,0.8425965625
AUB-WSBC,0.8126,90,30,0.0005,0.7915769043,0.8343701087
CATY-HWC,0.8122,90,30,0.0005,0.7868844701,0.838335602
CATY-HOPE,0.8118,85,35,0.0005,0.7772581528,0.8440322755
FHN-KEY,0.811,80,35,0.0005,0.7740408941,0.8442747522
ALK-JBLU,0.8109,80,40,0.0005,0.7630465779,0.8546159022
CFG-TFC,0.8104,80,35,0.0005,0.7707546121,0.8449487519
CFG-FNB,0.8103,75,30,0.0005,0.7799971021,0.8386481544
ALK-UAL,0.81,75,30,0.0005,0.7667000244,0.8493214757
BKU-FNB,0.8095,70,35,0.0005,0.7786451406,0.8439579988
FITB-HBAN,0.8086,85,30,0.0005,0.774740921,0.8400248119
KEY-TFC,0.8081,80,35,0.0005,0.7690027629,0.8430403039
ASB-HWC,0.808,80,30,0.0005,0.7798033689,0.8367141493
FULT-VLY,0.8079,70,35,0.0005,0.7731870009,0.8417335172
CATY-FFBC,0.8072,75,35,0.0005,0.778597258,0.834892519
LNC-MET,0.8066,75,40,0.0005,0.7540730754,0.8542877389
FHN-FITB,0.8065,75,30,0.0005,0.7732764803,0.8366077444
CATY-FNB,0.8063,70,35,0.0005,0.7751113685,0.839297048
ASB-CATY,0.8063,80,35,0.0005,0.7739626245,0.8372742865
FFBC-FRME,0.8061,75,35,0.0005,0.7719582612,0.8376655979
FITB-FNB,0.806,75,35,0.0005,0.7693368305,0.8396018556
CATY-FULT,0.8058,75,30,0.0005,0.7743975981,0.8379963574
AMAT-LRCX,0.8058,80,45,0.0005,0.744625528,0.8647526612
FNB-RF,0.8056,80,35,0.0005,0.768340222,0.839524712
FRME-TOWN,0.8053,75,35,0.0005,0.7683194027,0.8375669052
BANR-HOPE,0.8053,90,30,0.0005,0.7749567352,0.8344106974
FCF-FFBC,0.8049,85,35,0.0005,0.7769972871,0.8329210171
FCF-HOPE,0.8049,75,40,0.0005,0.768837668,0.8408828281
JBLU-UAL,0.8047,70,35,0.0005,0.7508637982,0.8504612291
NBTB-STBA,0.8043,75,35,0.0005,0.7695750625,0.8398016558
LBTYA-LBTYK,0.8042,80,40,0.0005,0.7344737698,0.8637423366
HWC-WTFC,0.8035,75,35,0.0005,0.7571159942,0.8427263108
DAL-JBLU,0.803,70,50,0.0005,0.7491681967,0.8526948394
HOPE-VLY,0.8027,75,30,0.0005,0.7656970606,0.8395106988
AUB-CATY,0.8026,80,35,0.0005,0.7723719392,0.8302913665
RF-WBS,0.8021,75,30,0.0005,0.7633315305,0.8344215055
FBP-OFG,0.8021,70,35,0.0005,0.7686484464,0.834968935
ASB-FULT,0.802,70,35,0.0005,0.7712737161,0.8336888052
FFBC-FNB,0.8016,75,30,0.0005,0.7734099775,0.8309824874
HWC-VLY,0.8012,75,30,0.0005,0.7723456641,0.8313470365
HOPE-WSBC,0.8012,85,30,0.0005,0.7683959431,0.8342595034
FFBC-FULT,0.8012,75,30,0.0005,0.7722375364,0.8277039304
ABCB-AUB,0.8,85,30,0.0005,0.7727306828,0.826777271
AAL-DAL,0.7998,75,45,0.0005,0.7483729227,0.8450258582
BANR-FRME,0.7995,80,30,0.0005,0.7625829337,0.8347922105
FULT-SFNC,0.7994,70,35,0.0005,0.7677357279,0.8312188563
